t,x,x_dot,theta,theta_dot,F_total,F_pend,F_car
10.68,468.2200869395725,39.66420457901337,3.1349586353869965,2.2789735567763647,60.81510271079333,122.2740839440373,-61.45898123324397
10.700000000000001,469.02891534671534,39.65056327833562,3.1349623993351847,2.278985376130351,60.81510271079333,122.2740839440373,-61.45898123324397
10.72,469.83747093989615,39.6369239721437,3.134966328694609,2.278986261560787,60.81510271079333,122.2740839440373,-61.45898123324397
10.74,470.6457537588237,39.62328653889503,3.1349702045615877,2.2789765358817915,60.81510271079333,122.2740839440373,-61.45898123324397
10.76,471.45376384013764,39.60965075949762,3.134973818361329,2.2789570869681195,60.81510271079333,122.2740839440373,-61.45898123324397
10.78,472.2615012155239,39.596016332513585,3.1349769828193366,2.27892930038511,60.81510271079333,122.2740839440373,-61.45898123324397
10.8,473.0689659101625,39.582382893317394,3.134979541404412,2.278894967286597,60.81510271079333,122.2740839440373,-61.45898123324397
10.82,473.87615794158177,39.56875003603414,3.1349813757825347,2.2788561734212704,60.81510271079333,122.2740839440373,-61.45898123324397
10.84,474.6830773189662,39.55511733697215,3.1349824109445223,2.2788151759152853,60.81510271079333,122.2740839440373,-61.45898123324397
10.86,475.48972404294096,39.541484378227025,3.1349826178080598,2.2787742749353757,60.81510271079333,122.2740839440373,-61.45898123324397
10.88,476.2960981058284,39.52785077016976,3.1349820132385386,2.2787356873728952,60.81510271079333,122.2740839440373,-61.45898123324397
10.9,477.1021994923462,39.51421617163636,3.1349806575751358,2.278701429336375,60.81510271079333,122.2740839440373,-61.45898123324397
10.92,477.90802818069506,39.50058030680114,3.1349786498810186,2.278673213530968,60.81510271079333,122.2740839440373,-61.45898123324397
10.94,478.7135841439629,39.486942977930845,3.134976121252686,2.2786523665886507,60.81510271079333,122.2740839440373,-61.45898123324397
10.96,479.5188673517592,39.473304073467354,3.1349732266174204,2.278639770158115,60.81510271079333,122.2740839440373,-61.45898123324397
10.98,480.3238777719824,39.4596635711591,3.134970135515358,2.2786358281448447,60.81510271079333,122.2740839440373,-61.45898123324397
11.0,481.12861537262074,39.446021536239336,3.1349670224009603,2.2786404609918733,60.81510271079333,122.2740839440373,-61.45898123324397
11.02,481.93308012348666,39.43237811491825,3.1349640570066257,2.2786531263944365,60.81510271079333,122.2740839440373,-61.45898123324397
11.040000000000001,482.7372719977937,39.41873352370093,3.1349613952894226,2.2786728644281546,60.81510271079333,122.2740839440373,-61.45898123324397
11.06,483.5411909734951,39.40508803525232,3.1349591714326,2.278698363814245,60.81510271079333,122.2740839440373,-61.45898123324397
11.08,484.3448370343198,39.39144196169327,3.134957491300292,2.2787280450091556,60.81510271079333,122.2740839440373,-61.45898123324397
11.1,485.1482101704599,39.37779563632109,3.1349564276514448,2.2787601550391887,60.81510271079333,122.2740839440373,-61.45898123324397
11.120000000000001,485.9513103788836,39.364149394800116,3.1349560173131117,2.278792868534761,60.81510271079333,122.2740839440373,-61.45898123324397
11.14,486.7541376632702,39.35050355686104,3.134956260400114,2.2788243892703,60.81510271079333,122.2740839440373,-61.45898123324397
11.16,487.5566920335827,39.33685840948526,3.1349571215540224,2.2788530466806143,60.81510271079333,122.2740839440373,-61.45898123324397
11.18,488.35897350531366,39.323214192436744,3.1349585330657104,2.2788773822843895,60.81510271079333,122.2740839440373,-61.45898123324397
11.200000000000001,489.1609820984568,39.30957108684744,3.134960399648085,2.278896221664911,60.81510271079333,122.2740839440373,-61.45898123324397
11.22,489.96271783626923,39.29592920737253,3.1349626045439285,2.278908728589466,60.81510271079333,122.2740839440373,-61.45898123324397
11.24,490.76418074389784,39.282288598220525,3.1349650165920098,2.278914438934613,60.81510271079333,122.2740839440373,-61.45898123324397
11.26,491.56537084695054,39.268649233142504,3.1349674978353756,2.278913273259985,60.81510271079333,122.2740839440373,-61.45898123324397
11.28,492.36628817009046,39.255011019246794,3.1349699112404403,2.278905528072192,60.81510271079333,122.2740839440373,-61.45898123324397
11.3,493.16693273572923,39.241373804302285,3.134972128104095,2.2788918469759913,60.81510271079333,122.2740839440373,-61.45898123324397
11.32,493.96730456288685,39.22773738701539,3.134974034757361,2.278873173961573,60.81510271079333,122.2740839440373,-61.45898123324397
11.34,494.7674036662742,39.21410152962183,3.1349755382255617,2.2788506919703635,60.81510271079333,122.2740839440373,-61.45898123324397
11.36,495.5672300556409,39.20046597203086,3.1349765705731842,2.2788257505743337,60.81510271079333,122.2740839440373,-61.45898123324397
11.38,496.36678373541395,39.18683044670145,3.1349770917422046,2.278799787064488,60.81510271079333,122.2740839440373,-61.45898123324397
11.4,497.1660647046385,39.173194693417834,3.1349770907809207,2.2787742454559696,60.81510271079333,122.2740839440373,-61.45898123324397
11.42,497.96507295721176,39.1595584731659,3.1349765854511857,2.2787504978770396,60.81510271079333,122.2740839440373,-61.45898123324397
11.44,498.7638084823892,39.14592158038766,3.1349756202903665,2.2787297725279396,60.81510271079333,122.2740839440373,-61.45898123324397
11.46,499.562271265525,39.132283853003734,3.1349742632856294,2.278713091896754,60.81510271079333,122.2740839440373,-61.45898123324397
11.48,500.36046128899943,39.11864517973586,3.134972601388147,2.2787012242373987,60.81510271079333,122.2740839440373,-61.45898123324397
11.5,501.1583785332763,39.105005504423445,3.134970735150049,2.278694650493132,60.81510271079333,122.2740839440373,-61.45898123324397
11.52,501.9560229780281,39.091364827202185,3.134968772804983,2.27869354793663,60.81510271079333,122.2740839440373,-61.45898123324397
11.540000000000001,502.7533946032666,39.077723202587116,3.1349668241324693,2.2786977908474295,60.81510271079333,122.2740839440373,-61.45898123324397
11.56,503.5504933904161,39.06408073466925,3.134964994446428,2.278706967612146,60.81510271079333,122.2740839440373,-61.45898123324397
11.58,504.34731932327384,39.05043756978425,3.1349633790299847,2.278720412762536,60.81510271079333,122.2740839440373,-61.45898123324397
11.6,505.1438723888093,39.036793887136895,3.134962058303517,2.278737251706143,60.81510271079333,122.2740839440373,-61.45898123324397
11.620000000000001,505.9401525777636,39.023149887959214,3.134961093963358,2.2787564552914885,60.81510271079333,122.2740839440373,-61.45898123324397
11.64,506.73615988502445,39.009505783840645,3.1349605262678524,2.278776900912917,60.81510271079333,122.2740839440373,-61.45898123324397
11.66,507.5318943097627,38.99586178489149,3.1349603725791644,2.278797436616666,60.81510271079333,122.2740839440373,-61.45898123324397
11.68,508.3273558553325,38.98221808838788,3.1349606271974135,2.278816944626734,60.81510271079333,122.2740839440373,-61.45898123324397
11.700000000000001,509.1225445289469,38.968574868498344,3.1349612624523036,2.2788344008617756,60.81510271079333,122.2740839440373,-61.45898123324397
11.72,509.91746034115573,38.95493226761288,3.134962230950335,2.2788489273480455,60.81510271079333,122.2740839440373,-61.45898123324397
11.74,510.71210330515964,38.94129038969114,3.1349634688164207,2.278859834923784,60.81510271079333,122.2740839440373,-61.45898123324397
11.76,511.50647343600355,38.92764929592231,3.134964899720207,2.2788666542458986,60.81510271079333,122.2740839440373,-61.45898123324397
11.78,512.3005707496976,38.91400900285399,3.134966439441918,2.278869153812138,60.81510271079333,122.2740839440373,-61.45898123324397
11.8,513.0943952623152,38.90036948300801,3.13496800071158,2.278867344460793,60.81510271079333,122.2740839440373,-61.45898123324397
11.82,513.8879469891183,38.88673066786532,3.1349694980496627,2.278861470562164,60.81510271079333,122.2740839440373,-61.45898123324397
11.84,514.6812259437569,38.87309245297767,3.134970852346335,2.2788519888315935,60.81510271079333,122.2740839440373,-61.45898123324397
11.86,515.4742321375822,38.85945470485626,3.1349719949396255,2.2788395363341882,60.81510271079333,122.2740839440373,-61.45898123324397
11.88,516.266965579109,38.84581726920319,3.1349728709881273,2.2788248897849464,60.81510271079333,122.2740839440373,-61.45898123324397
11.9,517.059426273649,38.83217997999321,3.1349734419790973,2.278808918649229,60.81510271079333,122.2740839440373,-61.45898123324397
11.92,517.851614223132,38.81854266888387,3.1349736872651395,2.2787925347997837,60.81510271079333,122.2740839440373,-61.45898123324397
11.94,518.6435294261149,38.80490517443214,3.134973604579012,2.278776641580082,60.81510271079333,122.2740839440373,-61.45898123324397
11.96,519.4351718779754,38.791267350623684,3.134973209533274,2.2787620850589434,60.81510271079333,122.2740839440373,-61.45898123324397
11.98,520.22654157127,38.77762907427525,3.134972534166362,2.2787496100479845,60.81510271079333,122.2740839440373,-61.45898123324397
12.0,521.0176384962339,38.763990250946556,3.1349716246463672,2.2787398231075877,60.81510271079333,122.2740839440373,-61.45898123324397
12.02,521.8084626413901,38.75035081909151,3.1349705382857094,2.2787331643121163,60.81510271079333,122.2740839440373,-61.45898123324397
12.040000000000001,522.59901399423,38.736710752283024,3.1349693400521352,2.2787298890097096,60.81510271079333,122.2740839440373,-61.45898123324397
12.06,523.3892925419278,38.72307005945625,3.1349680987825064,2.2787300602275598,60.81510271079333,122.2740839440373,-61.45898123324397
12.08,524.1792982720473,38.709428783224126,3.1349668833149784,2.2787335517737777,60.81510271079333,122.2740839440373,-61.45898123324397
12.1,524.9690311732036,38.6957869964221,3.1349657587522892,2.2787400615047786,60.81510271079333,122.2740839440373,-61.45898123324397
12.120000000000001,525.7584912356457,38.6821447971296,3.1349647830545493,2.2787491336932626,60.81510271079333,122.2740839440373,-61.45898123324397
12.14,526.5476784517301,38.668502302490154,3.1349640041353064,2.2787601889742213,60.81510271079333,122.2740839440373,-61.45898123324397
12.16,527.3365928162646,38.6548596417062,3.1349634576014545,2.2787725599866326,60.81510271079333,122.2740839440373,-61.45898123324397
12.18,528.1252343267064,38.64121694861694,3.1349631652378283,2.2787855305830713,60.81510271079333,122.2740839440373,-61.45898123324397
12.200000000000001,528.9136029832111,38.62757435427605,3.134963134293491,2.278798376358097,60.81510271079333,122.2740839440373,-61.45898123324397
12.22,529.7016987885321,38.61393197993232,3.1349633575812663,2.2788104042505855,60.81510271079333,122.2740839440373,-61.45898123324397
12.24,530.489521747783,38.60028993078046,3.1349638143575262,2.2788209891018143,60.81510271079333,122.2740839440373,-61.45898123324397
12.26,531.2770718680804,38.5866482907953,3.134964471908016,2.2788296052878976,60.81510271079333,122.2740839440373,-61.45898123324397
12.280000000000001,532.0643491580894,38.57300711889297,3.134965287729679,2.27883585187639,60.81510271079333,122.2740839440373,-61.45898123324397
12.3,532.8513536275008,38.559366446582594,3.1349662121698367,2.2788394701610235,60.81510271079333,122.2740839440373,-61.45898123324397
12.32,533.63808528647,38.545726277185445,3.1349671913639425,2.2788403528811325,60.81510271079333,122.2740839440373,-61.45898123324397
12.34,534.4245441450503,38.532086586610646,3.1349681703023164,2.27883854490729,60.81510271079333,122.2740839440373,-61.45898123324397
12.36,535.2107302126507,38.51844732559273,3.1349690958550163,2.278834235645355,60.81510271079333,122.2740839440373,-61.45898123324397
12.38,535.9966434975468,38.504808423219856,3.1349699195920704,2.2788277438523123,60.81510271079333,122.2740839440373,-61.45898123324397
12.4,536.7822840064699,38.49116979151738,3.1349706002529234,2.278819495945532,60.81510271079333,122.2740839440373,-61.45898123324397
12.42,537.5676517442945,38.4775313308022,3.134971105742954,2.2788099992037765,60.81510271079333,122.2740839440373,-61.45898123324397
12.44,538.3527467138363,38.463892935491025,3.134971414564729,2.278799811487956,60.81510271079333,122.2740839440373,-61.45898123324397
12.46,539.137568915769,38.4502545000318,3.1349715166254777,2.278789509243528,60.81510271079333,122.2740839440373,-61.45898123324397
12.48,539.922118348661,38.43661592463222,3.134971413398119,2.2787796555795667,60.81510271079333,122.2740839440373,-61.45898123324397
12.5,540.706395009124,38.42297712048125,3.1349711174490196,2.278770770154772,60.81510271079333,122.2740839440373,-61.45898123324397
12.52,541.4903988920635,38.409338014197346,3.1349706513796027,2.278763302443601,60.81510271079333,122.2740839440373,-61.45898123324397
12.540000000000001,542.2741299910132,38.395698551288305,3.1349700462591366,2.2787576097190074,60.81510271079333,122.2740839440373,-61.45898123324397
12.56,543.0575882985324,38.38205869846838,3.13496933965103,2.278753940786745,60.81510271079333,122.2740839440373,-61.45898123324397
12.58,543.8407738066433,38.36841844474569,3.134968573353556,2.2787524261590772,60.81510271079333,122.2740839440373,-61.45898123324397
12.6,544.6236865072816,38.35477780126273,3.134967790987331,2.278753074982774,60.81510271079333,122.2740839440373,-61.45898123324397
12.620000000000001,545.4063263927379,38.34113679994071,3.1349670355656936,2.278755778659011,60.81510271079333,122.2740839440373,-61.45898123324397
12.64,546.1886934560638,38.327495491042185,3.134966347180459,2.2787603207318163,60.81510271079333,122.2740839440373,-61.45898123324397
12.66,546.9707876914232,38.31385393982061,3.1349657609247448,2.2787663922956107,60.81510271079333,122.2740839440373,-61.45898123324397
12.68,547.7526090943716,38.30021222246995,3.1349653051575928,2.278773611898552,60.81510271079333,122.2740839440373,-61.45898123324397
12.700000000000001,548.5341576620498,38.28657042161773,3.134965000192988,2.27878154870873,60.81510271079333,122.2740839440373,-61.45898123324397
12.72,549.3154333932857,38.272928621621695,3.1349648574700453,2.278789747575213,60.81510271079333,122.2740839440373,-61.45898123324397
12.74,550.0964362886007,38.259286903932036,3.1349648792330886,2.278797754559307,60.81510271079333,122.2740839440373,-61.45898123324397
12.76,550.8771663501235,38.24564534276873,3.134965058721697,2.2788051415341917,60.81510271079333,122.2740839440373,-61.45898123324397
12.780000000000001,551.6576235814206,38.23200400133792,3.134965380843098,2.278811528549226,60.81510271079333,122.2740839440373,-61.45898123324397
12.8,552.4378079872534,38.21836292877443,3.1349658232740563,2.27881660282062,60.81510271079333,122.2740839440373,-61.45898123324397
12.82,553.21771957328,38.20472215795188,3.1349663579178695,2.278820133432075,60.81510271079333,122.2740839440373,-61.45898123324397
12.84,553.9973583457165,38.19108170424966,3.1349669526253425,2.2788219810928165,60.81510271079333,122.2740839440373,-61.45898123324397
12.86,554.7767243109818,38.17744156531151,3.134967573077363,2.2788221025908877,60.81510271079333,122.2740839440373,-61.45898123324397
12.88,555.5558174753414,38.16380172177493,3.1349681847214095,2.2788205498799963,60.81510271079333,122.2740839440373,-61.45898123324397
12.9,556.3346378445733,38.150162138899084,3.134968754655044,2.278817464031337,60.81510271079333,122.2740839440373,-61.45898123324397
12.92,557.1131854236702,38.13652276897226,3.1349692533559494,2.2788130645530926,60.81510271079333,122.2740839440373,-61.45898123324397
12.94,557.8914602165954,38.12288355434176,3.1349696561698037,2.2788076348144095,60.81510271079333,122.2740839440373,-61.45898123324397
12.96,558.6694622261028,38.109244430880636,3.1349699444834465,2.2788015044972982,60.81510271079333,122.2740839440373,-61.45898123324397
12.98,559.4471914536281,38.09560533168827,3.1349701065303264,2.2787950301298427,60.81510271079333,122.2740839440373,-61.45898123324397
13.0,560.2246478992555,38.08196619081596,3.1349701377969836,2.2787885748225305,60.81510271079333,122.2740839440373,-61.45898123324397
13.02,561.0018315617594,38.06832694681446,3.1349700410220374,2.2787824883347314,60.81510271079333,122.2740839440373,-61.45898123324397
13.040000000000001,561.7787424387152,38.0546875459169,3.1349698258015506,2.2787770885420358,60.81510271079333,122.2740839440373,-61.45898123324397
